key,year,team,team_id,league,division,wins,payroll_rank,payroll_total,avg_hit_angle,anglesweetspotpercent,avg,slg
2022MIA,2022,Marlins,MIA,NL,East,69,26," $69,000,000 ",10.9,33.3,0.23,0.363
2022MIL,2022,Brewers,MIL,NL,Central,86,17," $122,281,128 ",13.5,33.5,0.235,0.409
2022CIN,2022,Reds,CIN,NL,Central,62,21," $99,580,000 ",12.9,34.2,0.235,0.372
2022SF,2022,Giants,SF,NL,West,81,13," $142,292,500 ",15.3,34.2,0.234,0.389
2022OAK,2022,Athletics,OAK,AL,West,60,29," $32,548,334 ",11.7,31.7,0.216,0.346
2022LAA,2022,Angels,LAA,AL,West,73,9," $169,413,094 ",13.7,34.4,0.233,0.39
2022PIT,2022,Pirates,PIT,NL,Central,62,28," $37,875,000 ",11.6,32.4,0.222,0.364
2021HOU,2021,Astros,HOU,AL,West,95,7," $171,018,567 ",14,34.8,0.267,0.444
2021TOR,2021,Blue Jays,TOR,AL,East,91,11," $137,133,333 ",13.6,34.1,0.266,0.466
2021KC,2021,Royals,KC,AL,Central,74,20," $87,779,400 ",12.7,32.5,0.249,0.396
2021BOS,2021,Red Sox,BOS,AL,East,92,3," $180,261,996 ",13.7,35.3,0.261,0.449
2021WSH,2021,Nationals,WSH,NL,East,65,9," $161,907,528 ",9.5,32.9,0.258,0.417
2021SD,2021,Padres,SD,NL,West,79,6," $171,686,600 ",10.5,31.6,0.242,0.401
2021LAD,2021,Dodgers,LAD,NL,West,106,1," $235,412,876 ",14.7,33.6,0.244,0.429
2021OAK,2021,Athletics,OAK,AL,West,86,24," $74,615,000 ",14.1,34,0.238,0.406
2021COL,2021,Rockies,COL,NL,West,74,18," $103,986,666 ",11.3,31.7,0.249,0.414
2021LAA,2021,Angels,LAA,AL,West,77,4," $177,353,000 ",12.3,33,0.245,0.407
2021STL,2021,Cardinals,STL,NL,Central,90,12," $135,047,200 ",14,33.7,0.244,0.412
2021AZ,2021,D-backs,AZ,NL,West,52,19," $89,077,233 ",12.9,32.8,0.236,0.382
2021CIN,2021,Reds,CIN,NL,Central,83,17," $118,748,164 ",13.2,35,0.249,0.431
2021PIT,2021,Pirates,PIT,NL,Central,61,30," $35,905,000 ",10.3,32.9,0.236,0.364
2021MIN,2021,Twins,MIN,AL,Central,73,16," $121,003,834 ",13.1,34.8,0.241,0.423
2021TEX,2021,Rangers,TEX,AL,West,60,22," $84,868,750 ",10.9,31.6,0.232,0.375
2021SF,2021,Giants,SF,NL,West,107,14," $127,889,903 ",14.8,35.2,0.249,0.44
2021PHI,2021,Phillies,PHI,NL,East,82,5," $174,009,000 ",11.6,31.8,0.24,0.408
2021CWS,2021,White Sox,CWS,AL,Central,93,15," $125,987,500 ",10.4,33.1,0.256,0.422
2021TB,2021,Rays,TB,AL,East,100,26," $60,388,600 ",12.6,32.5,0.243,0.429
2021BAL,2021,Orioles,BAL,AL,East,52,29," $45,701,135 ",13.3,33.8,0.239,0.402
2021CLE,2021,Guardians,CLE,AL,Central,80,28," $46,833,300 ",12.1,32,0.238,0.407
2021ATL,2021,Braves,ATL,NL,East,88,13," $134,459,435 ",13.8,34.7,0.244,0.435
2021MIL,2021,Brewers,MIL,NL,Central,95,21," $87,569,366 ",12.5,33.3,0.233,0.396
2021DET,2021,Tigers,DET,AL,Central,77,23," $80,398,600 ",13.3,35.8,0.242,0.399
2021SEA,2021,Mariners,SEA,AL,West,90,25," $64,553,500 ",14,34.1,0.226,0.385
2021NYY,2021,Yankees,NYY,AL,East,92,2," $191,205,631 ",12.5,33.4,0.237,0.407
2021NYM,2021,Mets,NYM,NL,East,77,8," $167,415,024 ",11.9,33.4,0.239,0.391
2021MIA,2021,Marlins,MIA,NL,East,67,27," $49,425,000 ",11,31.5,0.233,0.372
2021CHC,2021,Cubs,CHC,NL,Central,71,10," $149,665,500 ",11.7,31.5,0.237,0.407
2020LAD,2020,Dodgers,LAD,NL,West,43,2," $105,747,176 ",15,34.4,0.256,0.483
2020HOU,2020,Astros,HOU,AL,West,29,4," $81,848,621 ",14.4,32.4,0.24,0.408
